epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,265.552,1.52899,4.0511,0.01391,0.60597,0.51877,0.53932,0.30583,1.66739,1.8728,0.01992,0.00999017,0.00333006,0.00999017,0.00333006,0.00999017,0.00333006,0.00999017,0.00333006
2,496.567,1.57813,2.03172,0.01475,0.68441,0.57088,0.62145,0.34771,1.68218,1.67574,0.02086,0.0197923,0.00659742,0.0197923,0.00659742,0.0197923,0.00659742,0.0197923,0.00659742
3,695.34,1.64541,1.89371,0.01553,0.63005,0.5191,0.57229,0.31278,1.81099,1.90767,0.02327,0.0293964,0.00979879,0.0293964,0.00979879,0.0293964,0.00979879,0.0293964,0.00979879
4,885.403,1.69311,1.88181,0.01626,0.69076,0.56051,0.60536,0.32444,1.78627,1.81041,0.02233,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1077.73,1.66197,1.74552,0.0158,0.72765,0.59831,0.67549,0.37603,1.70044,1.51223,0.02114,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1269.4,1.61868,1.65441,0.01528,0.71914,0.58361,0.65608,0.37128,1.69926,1.57509,0.02089,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1462.76,1.58845,1.55981,0.01472,0.74613,0.61778,0.69687,0.40924,1.63774,1.43236,0.02033,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1653.35,1.5748,1.5372,0.01465,0.78411,0.65116,0.73518,0.43394,1.61429,1.28304,0.01968,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1847.67,1.54484,1.47989,0.01438,0.78942,0.65243,0.73909,0.44074,1.62562,1.27432,0.01986,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2038.98,1.5331,1.45218,0.01414,0.77769,0.67437,0.75352,0.45438,1.58244,1.21424,0.01934,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2231.83,1.52266,1.41135,0.01401,0.81242,0.67343,0.76733,0.46853,1.55378,1.19894,0.01867,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2423.83,1.51585,1.38609,0.0137,0.78685,0.67969,0.76317,0.46329,1.5735,1.19391,0.01905,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2616.72,1.50349,1.35596,0.01376,0.81751,0.68595,0.77595,0.48,1.54436,1.13071,0.01849,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
