epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,416.225,1.52881,3.76141,0.01458,0.60497,0.46929,0.49547,0.30486,1.49255,1.8209,0.01746,0.00999388,0.00333129,0.00999388,0.00333129,0.00999388,0.00333129,0.00999388,0.00333129
2,743.228,1.61174,2.00753,0.01571,0.61835,0.52059,0.54988,0.31702,1.56705,1.63659,0.019,0.0198289,0.00660964,0.0198289,0.00660964,0.0198289,0.00660964,0.0198289,0.00660964
3,1046.96,1.732,2.01886,0.01734,0.62089,0.51279,0.54608,0.28272,1.72647,1.82273,0.02205,0.029499,0.00983299,0.029499,0.00983299,0.029499,0.00983299,0.029499,0.00983299
4,1342.55,1.76975,2.00505,0.01776,0.62521,0.52548,0.56831,0.31654,1.6175,1.72648,0.02002,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,1636.78,1.73532,1.8981,0.01715,0.66829,0.56475,0.6236,0.35412,1.56914,1.53319,0.01899,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1930.36,1.69667,1.80532,0.0166,0.66992,0.57816,0.62501,0.36106,1.5402,1.53181,0.01875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,2226.5,1.64967,1.73995,0.01604,0.70872,0.59112,0.6618,0.39307,1.50106,1.38053,0.01824,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,2522.25,1.65,1.68712,0.01599,0.71178,0.59199,0.66696,0.40232,1.48088,1.42558,0.0179,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,2817.51,1.62859,1.6391,0.01587,0.71792,0.61501,0.68485,0.41797,1.48443,1.3003,0.01788,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,3112.88,1.60747,1.59416,0.01565,0.71766,0.63711,0.69484,0.43201,1.44382,1.25435,0.01731,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,3406.89,1.58961,1.57657,0.01527,0.72939,0.63732,0.71334,0.44728,1.43039,1.1993,0.01697,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,3702.39,1.5818,1.55541,0.01521,0.7325,0.6344,0.71471,0.4447,1.4398,1.20208,0.01716,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,3998.22,1.57956,1.53779,0.01522,0.73933,0.6451,0.71845,0.45177,1.42301,1.20358,0.01703,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,4294.7,1.56149,1.52174,0.01506,0.74013,0.6548,0.73056,0.46666,1.40863,1.18619,0.01683,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,4590.77,1.55524,1.4982,0.01484,0.74706,0.67317,0.74461,0.47274,1.3944,1.14813,0.0165,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,4886.03,1.53127,1.47025,0.0146,0.7575,0.65023,0.74192,0.47817,1.37318,1.16606,0.01602,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,5179.07,1.53075,1.45622,0.01464,0.74976,0.67384,0.749,0.48292,1.37592,1.12432,0.01609,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,5475.58,1.53459,1.43376,0.01467,0.77539,0.66077,0.75592,0.48994,1.3756,1.08187,0.01619,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,5770.8,1.52182,1.44296,0.01466,0.75462,0.67508,0.7546,0.49044,1.3586,1.08981,0.01609,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,6066.63,1.52494,1.423,0.01447,0.76495,0.68222,0.76357,0.49921,1.34981,1.07484,0.01579,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,6361.6,1.51073,1.41634,0.0143,0.76807,0.67705,0.76246,0.50234,1.34879,1.05711,0.01575,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,6655.83,1.49516,1.3834,0.01419,0.77182,0.69244,0.77065,0.50887,1.33494,1.03908,0.01569,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,6951.5,1.50066,1.38074,0.01417,0.77021,0.69649,0.77068,0.51027,1.33044,1.05557,0.01551,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,7247.25,1.49144,1.37348,0.01404,0.7673,0.69717,0.77132,0.51206,1.32826,1.04055,0.01551,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,7543.02,1.50134,1.3621,0.01421,0.78642,0.68928,0.77426,0.5128,1.33218,1.02567,0.01559,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,7839.07,1.48848,1.34591,0.01408,0.78058,0.70005,0.77738,0.51553,1.33545,1.01143,0.01551,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,8134.1,1.48693,1.35151,0.01406,0.78193,0.7054,0.78108,0.51895,1.33116,0.99175,0.01547,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,8427.73,1.49052,1.33634,0.01406,0.78271,0.69943,0.78231,0.52025,1.32515,1.0017,0.01541,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,8724.4,1.48207,1.34034,0.01404,0.78311,0.70281,0.78584,0.52413,1.31796,1.00651,0.01534,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,9019.88,1.47698,1.33369,0.01399,0.7883,0.7025,0.78683,0.52644,1.30857,1.00701,0.01518,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,9316.4,1.46596,1.30818,0.01389,0.78149,0.70709,0.78716,0.52807,1.3052,1.0027,0.01507,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,9612.81,1.45781,1.29666,0.01372,0.78633,0.709,0.78903,0.52974,1.305,0.98598,0.01509,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,9907.72,1.46167,1.30723,0.01364,0.78682,0.70881,0.79062,0.53239,1.29505,0.98388,0.01495,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,10201.7,1.45964,1.29947,0.01361,0.79014,0.71103,0.79178,0.53351,1.29271,0.97458,0.01488,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,10496.9,1.45961,1.27555,0.01358,0.78827,0.71092,0.79246,0.53532,1.28972,0.97366,0.01486,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,10793.2,1.43797,1.25534,0.01347,0.79002,0.71025,0.79295,0.53575,1.28866,0.96951,0.01487,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,11088.6,1.43636,1.2568,0.01341,0.79391,0.71419,0.79552,0.53827,1.28454,0.96645,0.01482,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
